"title"	"ChIP"	"hyb.chamber"	"dataset"	"synchroset"	"monkeyid"	"time.point"	"infection.time"	"clinical.status"	"description"	"description.1"	"time.point.comb"	"time.period"
"GSM2227984"	"M7_150"	17	5	"Training"	"No"	"M7"	150	"M5"	"Latent"	"M7_150"	"7196763087_C.AVG_Signal"	150	"late"
"GSM2227985"	"M14_56"	17	5	"Training"	"No"	"M14"	56	"D56"	"Latent"	"M14_56"	"7196763087_D.AVG_Signal"	56	"middle"
"GSM2227986"	"M10_20"	17	5	"Training"	"No"	"M10"	20	"D20"	"Active"	"M10_20"	"7196763087_E.AVG_Signal"	20	"middle"
"GSM2227987"	"M11_180"	17	5	"Training"	"Yes"	"M11"	180	"M6"	"Latent"	"M11_180"	"7196763087_F.AVG_Signal"	180	"late"
"GSM2227988"	"M5_30"	17	5	"Training"	"No"	"M5"	30	"D30"	"Latent"	"M5_30"	"7196763087_G.AVG_Signal"	30	"middle"
"GSM2227993"	"M1_120"	17	5	"Training"	"No"	"M1"	120	"M4"	"Active"	"M1_120"	"7196763087_L.AVG_Signal"	120	"late"
"GSM2227997"	"M7_120"	18	5	"Training"	"No"	"M7"	120	"M4"	"Latent"	"M7_120"	"7196771004_D.AVG_Signal"	120	"late"
"GSM2227999"	"M2_30"	18	5	"Training"	"No"	"M2"	30	"D30"	"Active"	"M2_30"	"7196771004_F.AVG_Signal"	30	"middle"
"GSM2228001"	"M11_30"	18	5	"Training"	"No"	"M11"	30	"D30"	"Latent"	"M11_30"	"7196771004_H.AVG_Signal"	30	"middle"
"GSM2228002"	"M10_42"	18	5	"Training"	"No"	"M10"	42	"D42"	"Active"	"M10_42"	"7196771004_I.AVG_Signal"	42	"middle"
"GSM2228003"	"M12_30"	18	5	"Training"	"No"	"M12"	30	"D30"	"Active"	"M12_30"	"7196771004_J.AVG_Signal"	30	"middle"
"GSM2228004"	"M12_56"	18	5	"Training"	"No"	"M12"	56	"D56"	"Active"	"M12_56"	"7196771004_K.AVG_Signal"	56	"middle"
"GSM2228005"	"M17_90"	18	5	"Training"	"No"	"M17"	90	"M3"	"Latent"	"M17_90"	"7196771004_L.AVG_Signal"	90	"late"
"GSM2228006"	"M14_120"	19	5	"Training"	"No"	"M14"	120	"M4"	"Latent"	"M14_120"	"7196771005_A.AVG_Signal"	120	"late"
"GSM2228009"	"M12_90"	19	5	"Training"	"No"	"M12"	90	"M3"	"Active"	"M12_90"	"7196771005_D.AVG_Signal"	90	"late"
"GSM2228010"	"M8_90"	19	5	"Training"	"No"	"M8"	90	"M3"	"Active"	"M8_90"	"7196771005_E.AVG_Signal"	90	"late"
"GSM2228011"	"M8_180"	19	5	"Training"	"Yes"	"M8"	180	"M6"	"Active"	"M8_180"	"7196771005_G.AVG_Signal"	180	"late"
"GSM2228012"	"M4_180"	19	5	"Training"	"Yes"	"M4"	180	"M6"	"Latent"	"M4_180"	"7196771005_H.AVG_Signal"	180	"late"
"GSM2228015"	"M6_180"	19	5	"Training"	"Yes"	"M6"	180	"M6"	"Active"	"M6_180"	"7196771005_K.AVG_Signal"	180	"late"
"GSM2228016"	"M3_56"	19	5	"Training"	"No"	"M3"	56	"D56"	"Latent"	"M3_56"	"7196771005_L.AVG_Signal"	56	"middle"
"GSM2228017"	"M5_120"	20	5	"Training"	"No"	"M5"	120	"M4"	"Latent"	"M5_120"	"7196771011_A.AVG_Signal"	120	"late"
"GSM2228018"	"M17_30"	20	5	"Training"	"No"	"M17"	30	"D30"	"Latent"	"M17_30"	"7196771011_B.AVG_Signal"	30	"middle"
"GSM2228019"	"M16_20"	20	5	"Training"	"No"	"M16"	20	"D20"	"Active"	"M16_20"	"7196771011_C.AVG_Signal"	20	"middle"
"GSM2228020"	"M11_20"	20	5	"Training"	"No"	"M11"	20	"D20"	"Latent"	"M11_20"	"7196771011_D.AVG_Signal"	20	"middle"
"GSM2228021"	"M17_42"	20	5	"Training"	"No"	"M17"	42	"D42"	"Latent"	"M17_42"	"7196771011_E.AVG_Signal"	42	"middle"
"GSM2228022"	"M14_180"	20	5	"Training"	"Yes"	"M14"	180	"M6"	"Latent"	"M14_180"	"7196771011_F.AVG_Signal"	180	"late"
"GSM2228023"	"M13_20"	20	5	"Training"	"No"	"M13"	20	"D20"	"Latent"	"M13_20"	"7196771011_G.AVG_Signal"	20	"middle"
"GSM2228024"	"M11_90"	20	5	"Training"	"No"	"M11"	90	"M3"	"Latent"	"M11_90"	"7196771011_H.AVG_Signal"	90	"late"
"GSM2228025"	"M17_20"	20	5	"Training"	"No"	"M17"	20	"D20"	"Latent"	"M17_20"	"7196771011_I.AVG_Signal"	20	"middle"
"GSM2228026"	"M6_56"	20	5	"Training"	"No"	"M6"	56	"D56"	"Active"	"M6_56"	"7196771011_J.AVG_Signal"	56	"middle"
"GSM2228027"	"M2_120"	20	5	"Training"	"No"	"M2"	120	"M4"	"Active"	"M2_120"	"7196771011_K.AVG_Signal"	120	"late"
"GSM2228032"	"M32_120"	22	7	"Test"	"No"	"M32"	120	"M4"	"Active"	"M32_120"	"9248833066_B.AVG_Signal"	120	"late"
"GSM2228034"	"M20_56"	22	7	"Test"	"No"	"M20"	56	"D56"	"Latent"	"M20_56"	"9248833066_E.AVG_Signal"	56	"middle"
"GSM2228035"	"M23_90"	22	7	"Test"	"Yes"	"M23"	90	"M3"	"Active"	"M23_90"	"9248833066_H.AVG_Signal"	90	"late"
"GSM2228036"	"M24_90"	22	7	"Test"	"No"	"M24"	90	"M3"	"Active"	"M24_90"	"9248833066_I.AVG_Signal"	90	"late"
"GSM2228037"	"M34_42"	22	7	"Test"	"No"	"M34"	42	"D42"	"Latent"	"M34_42"	"9248833066_J.AVG_Signal"	42	"middle"
"GSM2228038"	"M29_90"	22	7	"Test"	"No"	"M29"	90	"M3"	"Latent"	"M29_90"	"9248833066_K.AVG_Signal"	90	"late"
"GSM2228041"	"M28_180"	23	7	"Test"	"Yes"	"M28"	180	"M6"	"Latent"	"M28_180"	"9248833068_C.AVG_Signal"	180	"late"
"GSM2228044"	"M29_20"	23	7	"Test"	"No"	"M29"	20	"D20"	"Latent"	"M29_20"	"9248833068_F.AVG_Signal"	20	"middle"
"GSM2228046"	"M20_180"	23	7	"Test"	"Yes"	"M20"	180	"M6"	"Latent"	"M20_180"	"9248833068_H.AVG_Signal"	180	"late"
